iter	Passed	Remaining
0	2	235
1	3	189
2	5	183
3	7	169
4	8	165
5	10	164
6	12	163
7	13	159
8	15	159
9	17	157
10	19	154
11	20	152
12	22	151
13	24	148
14	26	147
15	27	144
16	29	144
17	31	142
18	33	141
19	35	140
20	36	138
21	38	136
22	40	134
23	41	132
24	43	131
25	45	129
26	47	127
27	48	125
28	50	123
29	52	121
30	53	119
31	55	117
32	57	115
33	59	114
34	60	113
35	62	111
36	64	109
37	65	107
38	67	105
39	69	104
40	71	102
41	71	99
42	73	97
43	75	95
44	77	94
45	78	92
46	80	90
47	82	89
48	84	87
49	86	86
50	87	84
51	89	82
52	91	80
53	92	79
54	93	76
55	95	75
56	97	73
57	99	71
58	101	70
59	103	68
60	104	67
61	106	65
62	108	63
63	109	61
64	111	60
65	113	58
66	115	56
67	117	55
68	119	53
69	120	51
70	122	50
71	124	48
72	126	46
73	127	44
74	129	43
75	132	41
76	134	40
77	135	38
78	137	36
79	139	34
80	141	33
81	142	31
82	144	29
83	146	27
84	148	26
85	149	24
86	151	22
87	153	20
88	154	19
89	156	17
90	158	15
91	159	13
92	161	12
93	163	10
94	164	8
95	166	6
96	167	5
97	169	3
98	170	1
99	172	0
